Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
East Asia & Pacific (all income levels),EAS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.72297626,,,,,32.54622845,,,,,33.31463674,,,,,37.60871149,,,,,39.48211945,39.50737669,,39.94387838,,
Europe & Central Asia (developing only),ECA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.16155381,,,,,20.92789335,,,,,18.5824249,,,,,18.60220315,,,,,18.69323055,18.4142948,,17.99697586,,
Europe & Central Asia (all income levels),ECS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0928606,,,,,20.03608431,,,,,17.33267525,,,,,17.0078768,,,,,16.04347081,15.76296489,,15.34912725,,
Ecuador,ECU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01273663,,,,,8.014527345,,,,,8.376745872,,,,,9.626613371,,,,,10.95683763,11.8056509,,13.90796767,,
"Egypt, Arab Rep.",EGY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.91970815,,,,,36.95832283,,,,,37.58243559,,,,,37.09114475,,,,,34.99149114,35.40708579,,36.40500393,,
Euro area,EMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.39754687,,,,,21.50762681,,,,,18.51027268,,,,,17.46645729,,,,,15.80561974,15.42726528,,14.81671685,,
Eritrea,ERI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.79879397,,,,,22.71953914,,,,,22.76993766,,,,,23.47092959,,,,,24.1713457,24.3595604,,24.81733113,,
Spain,ESP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82114697,,,,,17.52561247,,,,,16.92113412,,,,,15.22476203,,,,,12.77224529,12.36934328,,11.65039245,,
Estonia,EST,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.02765474,,,,,11.24142359,,,,,9.721202643,,,,,9.327369635,,,,,9.497712722,9.334870509,,9.094014053,,
Ethiopia,ETH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.98971475,,,,,16.02249183,,,,,16.07729846,,,,,16.82323526,,,,,17.04448671,17.15557619,,17.60024894,,
European Union,EUU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.51530589,,,,,21.20147406,,,,,17.98957428,,,,,16.95903769,,,,,15.39435167,15.02431824,,14.43345311,,
Fragile and conflict affected situations,FCS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.74637401,,,,,19.7244791,,,,,19.97038939,,,,,20.96745337,,,,,21.90435741,22.22054016,,23.08069156,,
Finland,FIN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.555474898,,,,,8.238245316,,,,,7.531923076,,,,,7.990274935,,,,,7.412987924,7.224872336,,7.032870806,,
Fiji,FJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.495643868,,,,,7.47133937,,,,,7.454336119,,,,,7.432325679,,,,,7.495301728,7.492394002,,7.486698003,,
France,FRA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75672757,,,,,20.14505956,,,,,17.84265694,,,,,16.72079655,,,,,15.0403296,14.67033815,,14.02274349,,
Faeroe Islands,FRO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.164325168,,,,,1.150649584,,,,,1.139339056,,,,,3.439149303,,,,,4.274691598,4.303721973,,4.363149564,,
Gabon,GAB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51725452,,,,,12.33646106,,,,,12.2677678,,,,,10.37050909,,,,,9.755840114,9.972955309,,10.92048756,,
United Kingdom,GBR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.74423463,,,,,16.99874436,,,,,14.55270116,,,,,12.67567363,,,,,11.39204608,11.16437863,,10.8052992,,
