region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlertPM10,dataCoverageAlertPM2.5,Number and type of monitoring stations (PM10),Number and type of monitoring stations (PM2.5),Reference
European Region,Eur HI,Austria,Sankt Andr_ Im Lavanttal,82,24,2013,,,,18,2013,,,,,,,"1 station, industrial, urban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Sankt Poelten,83,24,2013,,,,18,2013,,,,,,,"1 station, background, suburban","1 station, background, suburban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Sankt Veit An Der Glan,84,22,2013,,,,16,2013,,,,,,,"1 station, background, urban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Schwaz,85,20,2013,,,,15,2013,,,,,,,"1 station, traffic, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Schwechat,86,23,2013,,,,17,2013,,,,,,,"1 station, traffic, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Spittal An Der Drau,87,20,2013,,,,15,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Steyr,88,20,2013,,,,15,2013,,,,,,,"1 station, background, suburban","1 station, background, suburban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Steyregg,89,26,2013,,,,19,2013,,,,,,,"1 station, industrial, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Stockerau,90,23,2013,,,,17,2013,,,,,,,"1 station, traffic, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Traismaier,91,22,2013,,,,16,2013,,,,,,,"1 station, background, rural-regional",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Tulln,92,22,2013,,,,16,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Villach,93,19,2013,,,,14,2013,,,,,,,"1 station, traffic, urban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,V_cklabruck,94,21,2013,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",15,2013,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, background, suburban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Weiz,95,26,2013,,,,19,2013,,,,,,,"1 station, traffic, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Wels,96,23,2013,,,,18,2013,,,,,,,"1 station, background, urban","1 station, background, urban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Wien,97,26,2013,,,,18,2013,,,,,,,"9 stations, traffic, urban","6 stations, traffic, urban","European Environment Agency, Air quality e-reporting database"
