Country Name,Country Code,Type,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Electricity production from coal sources (% of total),Forest area (% of land area),Pump price for gasoline (US$ per liter),"Gross enrolment ratio, tertiary, both sexes (%)",Average precipitation in depth (mm per year),"Life expectancy at birth, total (years)",Population
New Zealand,NZL,Country,8.64,8.02,38.55,1.77,79.78,1732,81.16,4442100
High income: OECD,OEC,Aggregate,14.02,32.77,31.43,1.945,77.61,NA,80.54,1065863269
OECD members,OED,Aggregate,14.00,32.09,31.21,1.945,70.69,NA,79.80,1264613580
Oman,OMN,Country,30.35,0.00,0.01,0.31,NA,125,76.59,3906912
Other small states,OSS,Aggregate,16.09,19.77,26.83,1.27,12.35,NA,61.66,20531614
Pakistan,PAK,Country,46.18,0.06,2.08,1.14,9.53,494,65.72,181192646
Panama,PAN,Country,6.81,8.06,62.77,1.05,43.46,2928,77.24,3805683
Peru,PER,Country,12.90,1.99,58.18,1.63,NA,1738,74.06,30565461
Philippines,PHL,Country,8.60,38.76,24.55,1.25,31.48,2348,68.01,97571676
Palau,PLW,Country,NA,NA,87.61,NA,NA,494,NA,20919
Papua New Guinea,PNG,Country,5.90,NA,74.12,NA,NA,3142,62.30,7308864
Poland,POL,Country,16.98,84.39,30.60,1.74,73.19,600,76.80,38040196
Puerto Rico,PRI,Country,NA,NA,54.79,NA,86.57,2054,78.54,3595839
"Korea, Dem. Rep.",PRK,Country,24.33,26.95,44.95,NA,NA,1054,69.49,24895705
Portugal,PRT,Country,9.90,28.71,35.12,2.15,68.86,854,80.37,10457295
Paraguay,PRY,Country,14.13,0.00,41.02,1.74,NA,1130,72.65,6465669
Pacific island small states,PSS,Aggregate,6.57,NA,61.62,NA,NA,NA,69.54,2285709
French Polynesia,PYF,Country,NA,NA,42.35,NA,NA,NA,76.13,276766
Qatar,QAT,Country,38.36,0.00,0.00,0.27,12.15,74,78.23,2101288
Romania,ROU,Country,16.82,38.98,28.93,1.7,NA,637,74.46,19983693
Russian Federation,RUS,Country,14.23,15.75,49.77,0.99,76.14,460,70.37,143506911
Rwanda,RWA,Country,17.02,NA,18.63,1.73,6.90,1212,62.80,11078095
South Asia,SAS,Aggregate,45.96,61.92,17.39,1.22,21.20,NA,67.43,1698093032
Saudi Arabia,SAU,Country,54.12,0.00,0.45,0.16,50.94,59,74.02,30201051
Sudan,SDN,Country,26.59,0.00,8.31,0.63,15.14,250,62.83,38515095
Senegal,SEN,Country,41.21,0.00,43.59,1.72,NA,686,65.32,14221041
Singapore,SGP,Country,16.68,0.00,23.16,1.68,NA,2497,82.00,5399162
Solomon Islands,SLB,Country,4.54,NA,78.66,NA,NA,3028,67.51,560685
Sierra Leone,SLE,Country,23.92,NA,39.53,1.05,NA,2526,49.75,6178859
El Salvador,SLV,Country,12.92,0.00,13.43,1.26,25.45,1784,72.23,6089644
San Marino,SMR,Country,NA,NA,0.00,NA,59.85,NA,NA,31391
Somalia,SOM,Country,10.39,NA,10.51,NA,NA,282,54.69,10268157
Serbia,SRB,Country,15.78,72.80,31.05,1.78,52.38,686,74.84,7164132
Sub-Saharan Africa (developing only),SSA,Aggregate,20.55,54.95,26.03,1.355,8.33,NA,57.55,947400670
South Sudan,SSD,Country,16.33,NA,NA,1.97,NA,900,54.73,11453810
Sub-Saharan Africa (all income levels),SSF,Aggregate,20.54,54.57,26.07,1.355,8.33,NA,57.55,948287652
Small states,SST,Aggregate,14.12,NA,37.94,NA,14.49,NA,64.61,29793077
Sao Tome and Principe,STP,Country,6.77,NA,55.83,NA,7.67,3200,66.13,182386
Suriname,SUR,Country,11.48,NA,98.36,1.57,NA,2331,70.81,533450
Slovak Republic,SVK,Country,15.94,13.79,40.33,1.98,55.11,824,76.11,5413393
Slovenia,SVN,Country,13.62,33.11,61.94,1.86,86.02,1162,80.12,2059953
Sweden,SWE,Country,7.32,0.54,68.92,2.1,70.03,624,81.70,9600379
Swaziland,SWZ,Country,10.38,NA,33.27,1.3,NA,788,48.85,1250641
Sint Maarten (Dutch part),SXM,Country,NA,NA,NA,NA,NA,NA,NA,36607
Seychelles,SYC,Country,6.51,NA,88.41,NA,1.33,2330,74.23,89900
Syrian Arab Republic,SYR,Country,23.54,0.00,2.67,0.79,29.88,252,74.71,21789415
Turks and Caicos Islands,TCA,Country,NA,NA,36.21,NA,NA,NA,NA,33103
Chad,TCD,Country,30.71,NA,4.17,0.95,NA,322,50.78,13145788
Togo,TGO,Country,25.40,0.00,4.55,1.16,10.31,1168,58.55,6928719
Thailand,THA,Country,22.36,20.02,31.92,1.56,51.40,1622,74.07,67451422
Tajikistan,TJK,Country,19.62,0.00,2.94,1.45,22.47,691,69.17,8111894
Turkmenistan,TKM,Country,41.68,0.00,8.78,0.22,NA,161,65.31,5240088
Timor-Leste,TLS,Country,6.21,NA,48.39,1.65,NA,1500,67.02,1180069
Tonga,TON,Country,7.42,NA,12.50,NA,NA,NA,72.49,105139
Trinidad and Tobago,TTO,Country,9.17,0.00,44.76,NA,NA,2200,70.15,1348240
