code,name,agri,forest,year
SWZ,Eswatini,69.48,29.14,2023
SYC,Seychelles,3.37,73.26,2023
SYR,Syrian Arab Republic,74.09,2.84,2023
TCA,Turks and Caicos Islands,1.05,11.07,2023
TCD,Chad,39.98,3.16,2023
TGO,Togo,70.23,22.07,2023
THA,Thailand,43.8,38.69,2023
TJK,Tajikistan,27.95,3.08,2023
TKM,Turkmenistan,84.22,8.78,2023
TLS,Timor-Leste,22.96,61.66,2023
TON,Tonga,48.61,12.43,2023
TTO,Trinidad and Tobago,10.53,44.24,2023
TUN,Tunisia,62.44,4.55,2023
TUR,Turkiye,50.14,29.48,2023
TUV,Tuvalu,60,33.33,2023
TZA,Tanzania,44.62,50.05,2023
UGA,Uganda,71.89,11.04,2023
UKR,Ukraine,71.3,16.76,2023
URY,Uruguay,81.35,11.96,2023
USA,United States,46.08,33.87,2023
UZB,Uzbekistan,58.06,8.55,2023
VCT,St. Vincent and the Grenadines,17.95,73.18,2023
VEN,"Venezuela, RB",24.38,52.23,2023
VGB,British Virgin Islands,46.67,24.13,2023
VIR,Virgin Islands (U.S.),9.43,58.17,2023
VNM,Viet Nam,39.21,47.45,2023
VUT,Vanuatu,15.34,36.28,2023
WSM,Samoa,17.56,57.64,2023
YEM,"Yemen, Rep.",44.42,1.04,2023
ZAF,South Africa,79.42,13.97,2023
ZMB,Zambia,32.07,59.52,2023
ZWE,Zimbabwe,41.79,44.74,2023
